0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
17,17,17,0,0,0,0,1,1,1,2,2,2,1,1,1,1,0,17,17
17,17,1,1,1,1,1,17,17,1,1,1,17,17,1,1,1,1,1,1
1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1,1,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
